   tabletype   |                   table                    | rowcount  | totalmemory | averagerowsize 
 Transactional | kpi.tr_validate_alloc_payment_aggr         |       448 | 40 kB       | 91 bytes
 Transactional | kpi.tr_validate_aquisition_revenue_aggr    |  17704213 | 1258 MB     | 74 bytes
 Transactional | kpi.tr_validate_closing_balance_aggr       |  31468894 | 1905 MB     | 63 bytes
 Transactional | kpi.tr_validate_cross_data_aggr            |     40095 | 2696 kB     | 68 bytes
 Transactional | kpi.tr_validate_cross_reload_aggr          |     42140 | 3320 kB     | 80 bytes
 Transactional | kpi.tr_validate_daily_sso_aggr             |  30586143 | 2400 MB     | 82 bytes
 Transactional | kpi.tr_validate_low_revenue_site_aggr      |    601991 | 47 MB       | 81 bytes
 Transactional | kpi.tr_validate_mobo_revenue_aggr          |  12033505 | 858 MB      | 74 bytes
 Transactional | kpi.tr_validate_outlet_program_aggr        |    459684 | 33 MB       | 74 bytes
 Transactional | kpi.tr_validate_primary_mobo_aggr          |     50014 | 2944 kB     | 60 bytes
 Transactional | kpi.tr_validate_rguga_injection_aggr       |  71924304 | 7733 MB     | 112 bytes
 Transactional | kpi.tr_validate_secondary_mobo_aggr        |  16320610 | 1061 MB     | 68 bytes
 Transactional | kpi.tr_validate_site_rguga_aggr            |   5940728 | 420 MB      | 74 bytes
 Transactional | kpi.tr_validate_sp_tagging_aggr            |   3551143 | 204 MB      | 60 bytes
 Transactional | kpi.tr_validate_tertiary_sales_aggr        |  52726394 | 4135 MB     | 82 bytes
 Transactional | kpi.tr_validate_total_revenue_aggr         |  75927153 | 5939 MB     | 82 bytes